NAME	adipose.stem.cells	B.cells	CD4..T.cells	CD8..T.cells	chondrocytes	endothelial.cells	eosinophils	erythroblasts	fibroblasts	keratinocytes	macrophages	mesenchymal.stromal.cells	monocytes	myeloid.dendritic.cells	neutrophils	NK.cells	osteoblasts	pc.adipocytes	plasmacytoid.dendritic.cells	platelets	sc.adipocytes	smooth.muscle.cells
CA2	27.24988311	74.98428251	51.8971342	36.11526872	768.3663217	40.0646474	45.75225359	11433.61575	23.48786805	4594.902531	4716.951331	36.56786233	293.6374093	349.1428984	180.3512867	48.98019824	34.93139635	179.1667696	66.46143952	5972.587296	177.3060389	37.56228526
KRT14	52.69561133	29.28388104	25.24639662	25.86246874	95.91808102	48.71257192	19.5451215	39.49182636	43.25434438	16020.68436	35.31878635	95.99942551	37.35626989	68.11701324	30.44177795	34.23988385	1522.159253	31.99152305	47.82844861	37.74224507	62.67369457	242.1000975
PLPP3	5391.487622	53.36104781	28.29018849	28.23993857	6694.211895	494.5964775	32.86917494	41.20329898	6496.667828	91.35998485	2093.968992	5341.3516	45.14594415	35.04256783	38.88222504	32.66316593	1391.243978	232.9037773	33.12930737	28.19193509	314.1150434	4938.62844
ANXA3	266.8310969	15.18925332	27.17277892	25.91070334	42.38917351	2433.516952	24.93294386	19.41008547	77.19455489	3248.870503	18.65030205	28.11165723	23.88196574	25.24790572	1715.098339	17.32050423	60.92411759	1558.755324	24.04457011	555.4369122	1690.498742	42.72733117
IGHM	86.46901854	12366.82469	473.653441	1825.177368	123.830512	163.2104594	114.7783051	220.6606636	107.6293933	89.03201364	124.2629587	112.0385094	367.0201817	237.0978504	140.2117538	117.4450786	84.20409288	260.0149677	3078.159594	242.5213686	132.9086575	148.753433
TM4SF1	509.6813889	73.20831152	69.99736582	85.06496639	3179.536958	8795.284711	76.26928659	102.3246663	61.14514881	7004.727171	71.49737245	6929.986121	67.93155665	54.49817621	88.38354774	79.61775666	3508.099506	4108.338827	72.25683847	350.2314694	2643.605324	6766.43924
ENPP2	4108.338827	32.5257959	70.63961142	33.87032569	5052.987344	26.80649353	321.0732331	31.43429061	11066.57334	40.43849472	434.0366871	2606.010626	39.50103923	689.798109	44.41957626	33.72472187	3172.827382	2297.503097	3151.876459	26.2952748	2831.16718	445.6276883
CHI3L1	967.797718	30.7040845	25.22090099	32.8505866	10304.32302	17.66623927	21.97506102	41.29433113	45.5056599	294.0466415	12601.68829	9008.448639	34.21991667	42.1638428	4389.472637	20.52811911	84.37119004	125.6581913	31.1637876	26.78903796	173.8691302	33.72857245
HLA-DQB1	17.53260987	2073.250961	364.2375897	91.23920109	24.41697331	25.89718993	82.38119002	16.46448797	20.47654183	22.19897881	1536.745549	103.2245785	1389.370726	4835.080915	58.57685238	43.63874254	19.55521695	991.8054018	2035.375643	846.4895468	1025.660947	21.56206041
RARRES2	1957.555938	190.9822411	122.2623594	270.3658094	179.2380144	101.0323183	200.4200939	404.476514	376.2198795	125.4303144	160.9234156	240.9021297	159.76017	157.735208	237.8177028	127.9083073	249.9665558	6934.793155	175.223405	144.3348609	7692.406178	260.3468198
